V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
0.0038037,0.00135747,0.00160742,0.00196324,0.00200787,0.00162087,0.00171078,5.83E-06,0.00022422,-0.00001712,0.00061991,0.00044974,-0.00009305
0.00135747,0.00387881,0.00160491,0.00190781,0.00192346,0.00237094,0.00193179,-0.00015627,0.00005513,0.00024836,0.00026759,0.00036397,0.00022084
0.00160742,0.00160491,0.00404906,0.00285547,0.00248534,0.00218235,0.00291731,-0.00005734,0.00021533,-0.00032909,0.00064843,0.00009675,-0.00028762
0.00196324,0.00190781,0.00285547,0.00737259,0.00264506,0.00311735,0.00315103,-0.00033954,0.00032576,-0.00086893,0.00167462,-0.0003938,-0.00055305
0.00200787,0.00192346,0.00248534,0.00264506,0.00552551,0.00289001,0.00368562,-0.00044903,0.00018011,-0.00029476,0.00020875,0.00006681,-0.00046643
0.00162087,0.00237094,0.00218235,0.00311735,0.00289001,0.00650165,0.00350214,-0.0003846,-0.00016831,0.00057469,0.00065702,0.00033771,-0.00030719
0.00171078,0.00193179,0.00291731,0.00315103,0.00368562,0.00350214,0.00747442,-0.00016767,0.0001904,-0.00020844,0.00076664,0.00035256,-0.00030621
0.00022422,0.00005513,0.00021533,0.00032576,0.00018011,-0.00016831,0.0001904,0.00914301,0.00041663,0.00090154,0.00055763,0.00099848,0.00191784
0.000005827,-0.00015627,-0.00005734,-0.00033954,-0.00044903,-0.0003846,-0.00016767,0.00041663,0.02738183,0.00003439,0.00154834,0.00315029,0.00090403
-0.00001712,0.00024836,-0.00032909,-0.00086893,-0.00029476,0.00057469,-0.00020844,0.00090154,0.00003439,0.02012827,0.00037264,0.00478499,0.00481032
0.00061991,0.00026759,0.00064843,0.00167462,0.00020875,0.00065702,0.00076664,0.00055763,0.00154834,0.00037264,0.00741571,0.00134818,0.00151645
0.00044974,0.00036397,0.00009675,-0.0003938,0.00006681,0.00033771,0.00035256,0.00099848,0.00315029,0.00478499,0.00134818,0.0074951,0.00163024
-0.00009305,0.00022084,-0.00028762,-0.00055305,-0.00046643,-0.00030719,-0.00030621,0.00191784,0.00090403,0.00481032,0.00151645,0.00163024,0.01888788
