V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
0.39069399,0.23037347,0.20657899,0.28425919,0.36135195,0.22231506,0.41637478,-0.01483868,-0.00527433,0.09624478,-0.07626905,0.02725039,0.00430753
0.23037347,0.54698339,0.21002499,0.4131844,0.29294513,0.2601743,0.15867835,-0.00566549,-0.01631066,0.08197307,-0.12454101,-0.09868218,0.02326312
0.20657899,0.21002499,0.55603644,0.1693806,0.38309005,0.29262288,0.70239413,0.00660804,-0.02392668,0.09550704,-0.08423923,0.15564374,0.0629415
0.28425919,0.4131844,0.1693806,1.4260921,0.32287331,0.42154849,0.12131511,-0.22712882,0.06867199,0.03926975,-0.51004803,-0.09068588,-0.16495365
0.36135195,0.29294513,0.38309005,0.32287331,1.1364595,0.49874886,0.8928945,-0.0156935,0.0002616,0.21654088,-0.15142855,0.15813185,0.02950423
0.22231506,0.2601743,0.29262288,0.42154849,0.49874886,0.68832664,0.48994143,0.03477873,-0.01289376,0.15798949,-0.11885368,0.2280667,0.02625023
0.41637478,0.15867835,0.70239413,0.12131511,0.8928945,0.48994143,3.5520509,-0.29000059,0.11871273,0.13533009,-0.33218954,0.10099601,-0.30631954
-0.01483868,-0.00566549,0.00660804,-0.22712882,-0.0156935,0.03477873,-0.29000059,0.85001103,0.07933767,0.14577216,0.27150033,0.29233132,0.56383575
-0.01631066,-0.02392668,0.06867199,0.0002616,-0.01289376,0.11871273,0.0793376,0.09681157,1.3397893,-0.11415597,0.89419593,0.41704908,0.08749643
0.09624478,0.08197307,0.09550704,0.03926975,0.21654088,0.15798949,0.13533009,0.14577216,-0.11415597,1.4306424,-0.06799824,0.74500283,0.4895432
-0.07626905,-0.12454101,-0.08423923,-0.51004803,-0.15142855,-0.11885368,-0.33218954,0.27150033,0.89419593,-0.06799824,4.1103811,0.06486199,0.80831925
0.02725039,-0.09868218,0.15564374,-0.09068588,0.15813185,0.2280667,0.10099601,0.29233132,0.41704908,0.74500283,0.06486199,1.6001116,0.47969384
0.00430753,0.02326312,0.0629415,-0.16495365,0.02950423,0.02625023,-0.30631954,0.56383575,0.08749643,0.48954321,0.80831925,0.47969384,3.1692044
