Journal name,ISSN,ISSN online,Start year,www,FoR code,ABDC List 2013
Academy of  Management Annals,1941-6520,1941-6067,2007,http://publications.aomonline.org/,1503,A*
Academy of Management Journal,0001-4273,1948-0989,1958,http://journals.aomonline.org/amj/,1503,A*
Academy of Management Learning and Education,1537-260X,1944-9585,2002,http://aom.pace.edu/amle/,1503,A*
Academy of Management Review,0363-7425,1930-3807,1976,http://journals.aomonline.org/amr/,1503,A*
Accident Analysis and Prevention,0001-4575,1879-2057,1969,http://www.sciencedirect.com/,1507,A*
"Accounting, Organizations and Society",0361-3682,1873-6289,1976,http://www.sciencedirect.com/,1501,A*
ACM Transactions on Computer-Human Interaction,1073-0516,1557-7325,1994,http://portal.acm.org/,806,A*
Administrative Science Quarterly,0001-8392,1930-3815,1956,http://www.johnson.cornell.edu/publications/asq,1503,A*
Advances in Experimental Social Psychology,0065-2601,1557-8410,1964,http://www.sciencedirect.com/science/journal/00652601,1503,A*
American Economic Journal: Applied Economics,1945-7782,1945-7790,2009,http://www.aeaweb.org/aej-applied/,1402,A*
American Economic Journal: Economic Policy,1945-7731,1945-774x,2009,http://www.aeaweb.org/aej-policy/,1402,A*
American Economic Journal: Macroeconomics,1945-7707,1945-7715,2009,http://www.aeaweb.org/aej-macro/,1402,A*
American Economic Journal: Microeconomics,1945-7669,1945-7685,2009,http://www.aeaweb.org/aej-micro/,1402,A*
American Journal of Agricultural Economics,0002-9092,1467-8276,1919,http://www.jstor.org/,1402,A*
American Journal of International Law,0002-9300,0272-5037,1907,http://www.heinonline.org/,180105,A*
American Journal of Political Science,0092-5853,1540-5907,1950,http://www.ebscohost.com/,1599,A*
American Journal of Public Health,0090-0036,1541-0048,1911,http://ajph.aphapublications.org/,1503,A*
American Journal of Sociology,0002-9602,1537-5390,1895,http://www.journals.uchicago.edu/,1503,A*
American Political Science Review,0003-0554,1537-5943,1906,http://www.proquest.co.uk/en-UK/,1599,A*
American Psychologist,0003-066X,1935-990X,1946,http://csaweb114v.csa.com/,1503,A*
American Sociological Review,0003-1224,1939-8271,1936,http://www.proquest.co.uk/en-UK/,1503,A*
Annals of Applied Probability,1050-5164,,1991,http://projecteuclid.org/,104,A*
Annals of Applied Statistics,1932-6157,1941-7330,2007,http://www.imstat.org/aoas/,104,A*
Annals of Probability,0091-1798,,1973,http://projecteuclid.org/,104,A*
Annals of Statistics,0090-5364,,1973,http://projecteuclid.org/,104,A*
